team_episode_return,episode_length,left_player_0,left_player_1,left_player_2,right_player_4,right_player_5,right_player_6,steps,epsilon
-3.4320000000000013,156.0,-1.2060000000000008,-1.0540000000000005,-1.1720000000000006,-1.4740000000000006,-1.2030000000000003,-0.8310000000000002,0,1.0
-3.0980000000000016,156.0,-1.0800000000000005,-0.9840000000000003,-1.0340000000000005,-0.09600000000000002,-1.4280000000000008,-0.083,15000,0.99525
-3.014000000000001,156.0,-1.0560000000000005,-0.9300000000000004,-1.0280000000000005,-0.054000000000000006,-1.4520000000000008,-1.4720000000000009,30000,0.9905
-3.0800000000000014,156.0,-1.0860000000000007,-0.9820000000000004,-1.0120000000000005,-0.7720000000000002,-1.4580000000000006,-1.4600000000000009,45000,0.98575
-3.106000000000001,156.0,-1.0560000000000005,-0.9960000000000004,-1.0540000000000007,-1.480000000000001,-1.4580000000000006,-0.048,60000,0.981
-3.1520000000000015,156.0,-1.1220000000000003,-0.9440000000000005,-1.0860000000000007,-0.048,-1.4580000000000006,-1.4780000000000006,75000,0.97625
-3.022000000000001,156.0,-0.9360000000000005,-1.0400000000000005,-1.0460000000000007,-1.462000000000001,-0.072,-0.07200000000000002,90000,0.9715
-3.152000000000001,156.0,-1.1100000000000005,-1.0100000000000005,-1.0320000000000005,-1.474000000000001,-1.4520000000000006,-0.8030000000000003,105000,0.96675
-3.1320000000000014,156.0,-1.0320000000000005,-1.0240000000000007,-1.0760000000000005,-1.498000000000001,-1.4280000000000006,-1.4720000000000009,120000,0.962
-2.976000000000001,156.0,-0.9960000000000004,-0.9400000000000006,-1.0400000000000005,-0.048,-1.4490000000000007,-1.4660000000000006,135000,0.9572499999999999
-3.114000000000001,156.0,-1.0380000000000007,-1.0180000000000007,-1.0580000000000003,-0.7390000000000001,-1.4580000000000006,-1.4420000000000008,150000,0.9525
-3.1900000000000013,156.0,-1.0620000000000005,-1.0360000000000005,-1.0920000000000005,-0.067,-0.7260000000000002,-0.8030000000000003,165000,0.94775
-3.1300000000000017,156.0,-1.0080000000000005,-1.0460000000000007,-1.0760000000000005,-0.073,-0.9360000000000006,-1.4600000000000006,180000,0.943
-3.1780000000000017,156.0,-1.1160000000000005,-1.0400000000000005,-1.0220000000000002,-1.467000000000001,-1.4460000000000006,-1.4480000000000008,195000,0.93825
-3.1100000000000017,156.0,-1.0320000000000005,-0.9460000000000003,-1.1320000000000003,-1.492000000000001,-1.4580000000000006,-1.4600000000000006,210000,0.9335
-3.0500000000000016,156.0,-1.0680000000000005,-1.0040000000000004,-0.9780000000000004,-0.042,-1.4460000000000008,-0.04800000000000001,225000,0.9287500000000001
-3.026000000000001,156.0,-1.0260000000000002,-1.0180000000000005,-0.9820000000000004,-0.054000000000000006,-0.7620000000000002,-1.4720000000000009,240000,0.924
-3.148000000000002,156.0,-1.1220000000000006,-0.9540000000000004,-1.0720000000000005,-1.480000000000001,-1.443000000000001,-0.7690000000000002,255000,0.91925
-3.118000000000001,156.0,-1.0560000000000005,-1.0360000000000003,-1.0260000000000002,-0.8320000000000002,-0.7950000000000004,-1.4670000000000007,270000,0.9145
-3.0000000000000013,156.0,-1.0560000000000005,-0.9480000000000002,-0.9960000000000002,-0.066,-1.4580000000000006,-0.7920000000000004,285000,0.9097500000000001
-3.1600000000000015,156.0,-0.9960000000000007,-1.0560000000000005,-1.1080000000000005,-1.5100000000000011,-1.4520000000000006,-1.4720000000000006,300000,0.905
-3.0500000000000007,156.0,-1.0620000000000007,-1.0100000000000005,-0.9780000000000004,-1.486000000000001,-0.7260000000000003,-1.4600000000000006,315000,0.90025
