environment_steps,epsilon,mean_episode_length,mean_episode_return,mean_episode_time,mean_team_episode_return,std_episode_length,std_episode_return,std_episode_time,std_team_episode_return,updates
0,1.0,804.6,0.0,0.7246948600000053,0.0,1.2,0.0,0.011175097228670217,0.0,0
0,1.0,804.4,0.0,0.7210979199999997,0.0,1.0198039027185568,0.0,0.016749028327565973,0.0,0
0,1.0,806.4,0.0,0.44030162000000034,0.0,1.4966629547095767,0.0,0.017809495053863995,0.0,0
0,1.0,806.8,0.0,0.42630424000000033,0.0,2.7129319932501073,0.0,0.007510563423497731,0.0,0
0,1.0,806.0,0.0,0.44801152,0.0,2.5298221281347035,0.0,0.0182799535467029,0.0,0
0,1.0,806.4,0.0,0.4372501999999997,0.0,1.4966629547095764,0.0,0.08490209984126325,0.0,0
0,1.0,806.0,0.0,0.4246869199999999,0.0,2.1908902300206643,0.0,0.06609538381709884,0.0,0
0,1.0,806.8,0.0,0.4241515399999997,0.0,2.039607805437114,0.0,0.0609581275227708,0.0,0
0,1.0,807.2,0.0,0.41103067999999965,0.0,2.0396078054371136,0.0,0.06145379902819241,0.0,0
0,1.0,806.8,0.0,0.4239404999999998,0.0,1.6,0.0,0.06365539748756491,0.0,0
0,1.0,806.8,0.0,0.4076163799999996,0.0,0.9797958971132713,0.0,0.07618006909373108,0.0,0
0,1.0,807.2,0.0,0.40394823999999974,0.0,2.7129319932501073,0.0,0.07129651195879365,0.0,0
0,1.0,805.2,0.0,0.3958334800000006,0.0,1.6,0.0,0.0634615302266937,0.0,0
0,1.0,807.2,0.0,0.4078083799999998,0.0,2.4,0.0,0.08850769673784031,0.0,0
0,1.0,808.0,0.0,0.4076400800000002,0.0,2.1908902300206643,0.0,0.0815668820530344,0.0,0
0,1.0,808.0,0.0,0.38994940000000045,0.0,1.7888543819998317,0.0,0.06427239376351203,0.0,0
0,1.0,806.4,0.0,0.41789927999999926,0.0,1.9595917942265426,0.0,0.10723987335571415,0.0,0
0,1.0,808.0,0.0,0.396977,0.0,2.5298221281347035,0.0,0.059894965466188624,0.0,0
0,1.0,806.4,0.0,0.40870081999999996,0.0,2.3323807579381204,0.0,0.09109911805025078,0.0,0
0,1.0,807.6,0.0,0.39926932000000015,0.0,2.939387691339814,0.0,0.08906464396009078,0.0,0
0,1.0,805.6,0.0,0.41480043999999977,0.0,2.3323807579381204,0.0,0.10982722339246594,0.0,0
0,1.0,807.6,0.0,0.41780538000000045,0.0,2.3323807579381204,0.0,0.08549117183004039,0.0,0
0,1.0,806.8,0.0,0.42294915999999994,0.0,2.039607805437114,0.0,0.106641183019406,0.0,0
