team_episode_return,episode_length,left_player_0,left_player_1,right_player_3,right_player_4,steps,epsilon
-0.34,56.0,-0.176,-0.164,-0.4299999999999999,-0.42899999999999994,0,1.0
-0.6380000000000001,56.0,-0.348,-0.2899999999999999,-0.4969999999999999,-0.361,15000,0.99525
-0.696,56.0,-0.356,-0.33999999999999997,-0.040999999999999995,-0.43999999999999995,30000,0.9905
-0.688,56.0,-0.35999999999999993,-0.32799999999999996,-0.23400000000000004,-0.047,45000,0.98575
-0.726,56.0,-0.37999999999999995,-0.346,-0.25,-0.5019999999999999,60000,0.981
-0.7480000000000001,56.0,-0.368,-0.38,-0.256,-0.5019999999999999,75000,0.97625
-0.7659999999999999,56.0,-0.39599999999999996,-0.3699999999999999,-0.526,-0.4939999999999999,90000,0.9715
-0.6599999999999999,56.0,-0.316,-0.34400000000000003,-0.024,-0.275,105000,0.96675
-0.702,56.0,-0.336,-0.366,-0.039999999999999994,-0.5059999999999999,120000,0.962
-0.682,56.0,-0.36,-0.32199999999999995,-0.262,-0.5059999999999999,135000,0.9572499999999999
-0.762,56.0,-0.392,-0.36999999999999994,-0.5269999999999999,-0.4929999999999999,150000,0.9525
-0.734,56.0,-0.356,-0.378,-0.53,-0.236,165000,0.94775
-0.6839999999999999,56.0,-0.36,-0.32399999999999995,-0.522,-0.5059999999999999,180000,0.943
-0.7020000000000001,56.0,-0.348,-0.354,-0.008,-0.5059999999999999,195000,0.93825
-0.7300000000000001,56.0,-0.37199999999999994,-0.358,-0.53,-0.4939999999999999,210000,0.9335
-0.7180000000000001,56.0,-0.388,-0.33,-0.013000000000000001,-0.5099999999999999,225000,0.9287500000000001
-0.7300000000000001,56.0,-0.348,-0.38199999999999995,-0.259,-0.5019999999999999,240000,0.924
-0.6859999999999999,56.0,-0.3519999999999999,-0.33399999999999996,-0.267,-0.5099999999999999,255000,0.91925
-0.736,56.0,-0.38799999999999996,-0.348,-0.024,-0.5059999999999999,270000,0.9145
-0.7020000000000001,56.0,-0.34800000000000003,-0.354,-0.518,-0.257,285000,0.9097500000000001
-0.7259999999999999,56.0,-0.35999999999999993,-0.366,-0.518,-0.028000000000000004,300000,0.905
-0.728,56.0,-0.38,-0.348,-0.5249999999999999,-0.5019999999999999,315000,0.90025
-0.718,56.0,-0.352,-0.36599999999999994,-0.526,-0.015,330000,0.8955
-0.7300000000000001,56.0,-0.36799999999999994,-0.362,-0.522,-0.5019999999999999,345000,0.89075
-0.7160000000000001,56.0,-0.368,-0.3479999999999999,-0.016,-0.24600000000000005,360000,0.886
-0.714,56.0,-0.37199999999999994,-0.34199999999999997,-0.28700000000000003,-0.004,375000,0.88125
-0.6920000000000001,56.0,-0.36399999999999993,-0.32799999999999996,-0.526,-0.5099999999999999,390000,0.8765000000000001
-0.6780000000000002,56.0,-0.344,-0.33399999999999996,-0.258,-0.5059999999999999,405000,0.87175
-0.74,56.0,-0.37199999999999994,-0.368,-0.016,-0.4899999999999999,420000,0.867
-0.742,56.0,-0.39599999999999996,-0.346,-0.039999999999999994,-0.030000000000000006,435000,0.86225
-0.6920000000000001,56.0,-0.3399999999999999,-0.352,-0.526,-0.4899999999999999,450000,0.8575
-0.756,56.0,-0.36799999999999994,-0.38799999999999996,-0.033999999999999996,-0.4789999999999998,465000,0.85275
-0.708,56.0,-0.336,-0.372,-0.518,-0.4939999999999999,480000,0.848
-0.702,56.0,-0.33199999999999996,-0.37,-0.53,-0.008,495000,0.8432499999999999
-0.7140000000000001,56.0,-0.364,-0.35,-0.009999999999999998,0.0,510000,0.8385
-0.742,56.0,-0.3559999999999999,-0.38599999999999995,-0.522,-0.309,525000,0.83375
-0.71,56.0,-0.372,-0.33799999999999997,-0.027999999999999997,-0.5019999999999999,540000,0.8290000000000001
-0.7180000000000001,56.0,-0.356,-0.362,-0.526,-0.016,555000,0.8242499999999999
-0.732,56.0,-0.36399999999999993,-0.368,-0.272,-0.016,570000,0.8195
-0.71,56.0,-0.33599999999999997,-0.374,-0.506,-0.024,585000,0.81475
-0.688,56.0,-0.35999999999999993,-0.32799999999999996,-0.2800000000000001,-0.5019999999999999,600000,0.81
-0.728,56.0,-0.37999999999999995,-0.34800000000000003,-0.522,-0.267,615000,0.80525
-0.7140000000000001,56.0,-0.356,-0.35799999999999993,-0.522,-0.4979999999999999,630000,0.8005
-0.7180000000000001,56.0,-0.356,-0.36199999999999993,-0.526,-0.5019999999999999,645000,0.7957500000000001
-0.7360000000000001,56.0,-0.38,-0.356,-0.269,-0.4979999999999999,660000,0.791
-0.7180000000000001,56.0,-0.33999999999999997,-0.378,-0.518,-0.5059999999999999,675000,0.78625
-0.72,56.0,-0.36,-0.36,-0.53,-0.5059999999999999,690000,0.7815
-0.73,56.0,-0.348,-0.38199999999999995,-0.009999999999999998,-0.5099999999999999,705000,0.77675
-0.7060000000000001,56.0,-0.33999999999999997,-0.366,-0.28200000000000003,-0.5099999999999999,720000,0.772
-0.7300000000000001,56.0,-0.3519999999999999,-0.378,-0.526,-0.02,735000,0.76725
-0.7799999999999999,56.0,-0.41999999999999993,-0.36000000000000004,-0.30299999999999994,-0.026999999999999996,750000,0.7625
-0.7380000000000001,56.0,-0.32799999999999996,-0.41,-0.522,-0.024,765000,0.75775
-0.752,56.0,-0.39199999999999996,-0.36,-0.526,-0.4899999999999999,780000,0.753
-0.6839999999999999,56.0,-0.356,-0.328,-0.526,-0.5099999999999999,795000,0.74825
-0.6940000000000001,56.0,-0.39199999999999996,-0.30199999999999994,-0.521,-0.4979999999999999,810000,0.7435
