team_episode_return,episode_length,left_player_0,left_player_1,right_player_3,right_player_4,steps,epsilon
-0.7539999999999999,52.0,-0.384,-0.36999999999999994,-0.377,-0.4149999999999999,0,1.0
-0.624,52.0,-0.324,-0.3,-0.4779999999999999,-0.35200000000000004,15000,0.99525
-0.6780000000000002,52.0,-0.344,-0.33399999999999996,-0.26999999999999996,-0.125,30000,0.9905
-0.6639999999999999,52.0,-0.356,-0.308,-0.016,-0.11400000000000003,45000,0.98575
-0.664,52.0,-0.344,-0.31999999999999995,-0.024,-0.174,60000,0.981
-0.6859999999999999,52.0,-0.348,-0.33799999999999997,-0.47399999999999987,-0.022000000000000002,75000,0.97625
-0.692,52.0,-0.31999999999999995,-0.37199999999999994,-0.4859999999999999,-0.203,90000,0.9715
-0.684,52.0,-0.35999999999999993,-0.324,-0.008,-0.345,105000,0.96675
-0.6479999999999999,52.0,-0.33199999999999996,-0.316,-0.47799999999999987,-0.24,120000,0.962
-0.6740000000000002,52.0,-0.33999999999999997,-0.33399999999999996,-0.4859999999999999,-0.15200000000000002,135000,0.9572499999999999
-0.6560000000000001,52.0,-0.34800000000000003,-0.308,-0.4859999999999999,-0.4389999999999999,150000,0.9525
-0.6679999999999999,52.0,-0.32799999999999996,-0.33999999999999997,-0.029000000000000005,-0.44599999999999984,165000,0.94775
-0.612,52.0,-0.30399999999999994,-0.30799999999999994,-0.244,-0.20900000000000002,180000,0.943
-0.616,52.0,-0.28400000000000003,-0.33199999999999996,-0.4899999999999999,-0.306,195000,0.93825
-0.7020000000000001,52.0,-0.368,-0.3339999999999999,-0.308,-0.07499999999999998,210000,0.9335
-0.6060000000000001,52.0,-0.29600000000000004,-0.31,-0.4859999999999999,-0.2820000000000001,225000,0.9287500000000001
-0.6319999999999999,52.0,-0.32799999999999996,-0.30400000000000005,-0.4819999999999999,-0.3909999999999999,240000,0.924
-0.628,52.0,-0.29599999999999993,-0.33199999999999996,-0.03699999999999999,-0.418,255000,0.91925
-0.6780000000000002,52.0,-0.348,-0.3299999999999999,-0.4859999999999999,-0.126,270000,0.9145
-0.6540000000000001,52.0,-0.308,-0.346,-0.02,-0.099,285000,0.9097500000000001
-0.666,52.0,-0.348,-0.31799999999999995,-0.4779999999999999,-0.066,300000,0.905
-0.604,52.0,-0.332,-0.272,-0.4859999999999999,-0.157,315000,0.90025
-0.648,52.0,-0.32799999999999996,-0.31999999999999995,-0.020999999999999998,-0.25800000000000006,330000,0.8955
-0.6100000000000001,52.0,-0.312,-0.29799999999999993,-0.47799999999999987,-0.192,345000,0.89075
-0.6439999999999999,52.0,-0.328,-0.316,-0.48199999999999993,-0.24900000000000003,360000,0.886
-0.642,52.0,-0.33199999999999996,-0.30999999999999994,-0.4819999999999999,-0.4339999999999999,375000,0.88125
-0.642,52.0,-0.3559999999999999,-0.28600000000000014,-0.013000000000000001,-0.195,390000,0.8765000000000001
-0.6839999999999999,52.0,-0.33599999999999997,-0.348,-0.02,-0.254,405000,0.87175
-0.672,52.0,-0.34400000000000003,-0.32799999999999996,-0.47799999999999987,-0.304,420000,0.867
-0.6519999999999999,52.0,-0.31599999999999995,-0.33599999999999997,-0.48499999999999976,-0.012,435000,0.86225
-0.6439999999999999,52.0,-0.332,-0.312,-0.242,-0.263,450000,0.8575
-0.6399999999999999,52.0,-0.33999999999999997,-0.3,-0.4849999999999999,-0.46199999999999986,465000,0.85275
-0.692,52.0,-0.3559999999999999,-0.33599999999999997,-0.4779999999999999,-0.46599999999999986,480000,0.848
-0.614,52.0,-0.30400000000000005,-0.31,-0.4859999999999999,-0.46599999999999986,495000,0.8432499999999999
-0.6320000000000001,52.0,-0.328,-0.304,-0.47799999999999987,-0.03599999999999999,510000,0.8385
-0.616,52.0,-0.292,-0.32399999999999995,-0.4859999999999999,-0.016,525000,0.83375
-0.6599999999999999,52.0,-0.324,-0.33599999999999997,-0.012,-0.4589999999999998,540000,0.8290000000000001
-0.6519999999999999,52.0,-0.328,-0.32399999999999995,-0.47799999999999987,-0.219,555000,0.8242499999999999
-0.672,52.0,-0.33999999999999997,-0.332,-0.48599999999999993,-0.008,570000,0.8195
-0.64,52.0,-0.30400000000000005,-0.33599999999999997,-0.4819999999999999,-0.02,585000,0.81475
-0.632,52.0,-0.328,-0.30399999999999994,-0.4859999999999999,-0.253,600000,0.81
-0.6439999999999999,52.0,-0.336,-0.30799999999999994,-0.48099999999999987,-0.027000000000000003,615000,0.80525
-0.652,52.0,-0.316,-0.33599999999999997,-0.4899999999999999,-0.46999999999999986,630000,0.8005
-0.6660000000000001,52.0,-0.348,-0.31800000000000006,-0.4779999999999999,-0.4579999999999999,645000,0.7957500000000001
-0.672,52.0,-0.352,-0.32,-0.028000000000000004,-0.4659999999999999,660000,0.791
-0.6220000000000001,52.0,-0.304,-0.31799999999999995,-0.47799999999999987,-0.023,675000,0.78625
-0.6679999999999999,52.0,-0.33599999999999997,-0.33199999999999996,-0.254,-0.24100000000000002,690000,0.7815
-0.6739999999999999,52.0,-0.33999999999999997,-0.33399999999999996,-0.029000000000000005,-0.45799999999999985,705000,0.77675
-0.674,52.0,-0.33999999999999997,-0.33399999999999996,-0.4859999999999999,-0.24100000000000002,720000,0.772
-0.6400000000000001,52.0,-0.33599999999999997,-0.30400000000000005,-0.4819999999999999,-0.275,735000,0.76725
-0.642,52.0,-0.33999999999999997,-0.302,-0.024,-0.4589999999999999,750000,0.7625
-0.6460000000000001,52.0,-0.344,-0.30199999999999994,-0.021,-0.016,765000,0.75775
